lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.006,0.004,0.012,3,8,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,3,11,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,3,14,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,3,18,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,5,8,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,5,11,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,5,14,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,5,18,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,8,8,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,8,11,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,8,14,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.012,8,18,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.003,0.0015,0.012,5,11,5,4,39.4049436829629,241.560578346252,107.705603894733,156.635367870331
0.01,0.006,0.012,5,11,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.02,0.01,0.012,5,11,5,4,39.4373269441227,242.002749443054,107.711538530531,156.635367870331
0.006,0.004,0.006,5,11,5,4,39.4363390060053,241.991877555847,107.711540233521,156.635367870331
0.006,0.004,0.02,5,11,5,4,39.4396638320315,242.028450965881,107.71153654371,156.635367870331
0.006,0.004,0.05,5,11,5,4,39.4585940144247,242.236661911011,107.711509295872,156.635367870331
