lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.006,0.004,0.012,3,8,5,4,50.273677280971,141.707372665405,NaN,NaN
0.006,0.004,0.012,3,11,5,4,48.4842404013588,104.744553565979,NaN,NaN
0.006,0.004,0.012,3,14,5,4,46.346642999422,76.3710558414459,NaN,NaN
0.006,0.004,0.012,3,18,5,4,46.220492819945,74.3017435073853,NaN,NaN
0.006,0.004,0.012,5,8,5,4,50.273677280971,141.707372665405,NaN,NaN
0.006,0.004,0.012,5,11,5,4,48.4842404013588,104.744553565979,NaN,NaN
0.006,0.004,0.012,5,14,5,4,46.346642999422,76.3710558414459,NaN,NaN
0.006,0.004,0.012,5,18,5,4,46.220492819945,74.3017435073853,NaN,NaN
0.006,0.004,0.012,8,8,5,4,50.273677280971,141.707372665405,NaN,NaN
0.006,0.004,0.012,8,11,5,4,48.4842404013588,104.744553565979,NaN,NaN
0.006,0.004,0.012,8,14,5,4,46.346642999422,76.3710558414459,NaN,NaN
0.006,0.004,0.012,8,18,5,4,46.220492819945,74.3017435073853,NaN,NaN
0.003,0.0015,0.012,5,11,5,4,48.4842404013588,104.744553565979,NaN,NaN
0.01,0.006,0.012,5,11,5,4,48.4842404013588,104.744553565979,NaN,NaN
0.02,0.01,0.012,5,11,5,4,48.4852321091152,104.757785797119,NaN,NaN
0.006,0.004,0.006,5,11,5,4,48.4844881863821,104.74499464035,NaN,NaN
0.006,0.004,0.02,5,11,5,4,48.4836540051869,104.743504524231,NaN,NaN
0.006,0.004,0.05,5,11,5,4,48.4788752737499,104.735338687897,NaN,NaN
