lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.15,0.015,0.01,2,4,2,2,111.761940660931,279.879760742188,22.6383314955802,27.6353716850281
0.15,0.015,0.02,2,4,2,2,111.197928019932,278.563761711121,22.5983545893715,27.618733048439
0.15,0.015,0.04,2,4,2,2,107.472919992038,269.967555999756,22.9210574712072,27.7483910322189
0.15,0.015,0.08,2,4,2,2,105.12692630291,267.466521263123,22.9540515513647,27.8383255004883
0.2,0.02,0.01,2,4,2,2,111.761940660931,279.879760742188,22.6383314955802,27.6353716850281
0.2,0.02,0.02,2,4,2,2,111.197928019932,278.563761711121,22.5983545893715,27.618733048439
0.2,0.02,0.04,2,4,2,2,107.472919992038,269.967555999756,22.9210574712072,27.7483910322189
0.2,0.02,0.08,2,4,2,2,105.12692630291,267.466521263123,22.9540515513647,27.8383255004883
0.25,0.025,0.01,2,4,2,2,254.546610212752,672.89023399353,40.3022796625183,84.5059156417847
0.25,0.025,0.02,2,4,2,2,100.740774046807,229.727911949158,23.4986283949443,37.6551657915115
0.25,0.025,0.04,2,4,2,2,82.1323750984101,162.566792964935,22.6473718172028,26.3060092926025
0.25,0.025,0.08,2,4,2,2,80.7914799167996,158.802974224091,22.6929893096288,26.3943761587143
0.3,0.03,0.01,2,4,2,2,254.546610212752,672.89023399353,40.3022796625183,84.5059156417847
0.3,0.03,0.02,2,4,2,2,100.740774046807,229.727911949158,23.4986283949443,37.6551657915115
0.3,0.03,0.04,2,4,2,2,82.1323750984101,162.566792964935,22.6473718172028,26.3060092926025
0.3,0.03,0.08,2,4,2,2,80.7914799167996,158.802974224091,22.6929893096288,26.3943761587143
0.35,0.035,0.01,2,4,2,2,76.979266390914,255.159997940063,22.1701678066027,26.4887630939484
0.35,0.035,0.02,2,4,2,2,84.5839910563968,124.088025093079,22.0094962489037,26.3814777135849
0.35,0.035,0.04,2,4,2,2,82.1323750984101,162.566792964935,22.6473718172028,26.3060092926025
0.35,0.035,0.08,2,4,2,2,80.7914799167996,158.802974224091,22.6929893096288,26.3943761587143
0.3,0.003,0.02,2,4,2,2,110.417626017616,254.317331314087,23.024126461574,38.4189456701279
0.3,0.01,0.02,2,4,2,2,110.417626017616,254.317331314087,23.024126461574,38.4189456701279
0.3,0.06,0.02,2,4,2,2,87.0312094688416,126.8683552742,22.250117787293,26.4475703239441
0.3,0.15,0.02,2,4,2,2,87.0312094688416,126.8683552742,22.250117787293,26.4475703239441
0.3,0.003,0.05,2,4,2,2,91.7550809326626,185.629141330719,22.3911435121582,25.9306252002716
0.3,0.01,0.05,2,4,2,2,91.7550809326626,185.629141330719,22.3911435121582,25.9306252002716
0.3,0.06,0.05,2,4,2,2,84.2585701318014,159.981882572174,22.7852436758223,26.1498093605042
0.3,0.15,0.05,2,4,2,2,84.2585701318014,159.981882572174,22.7852436758223,26.1498093605042
0.3,0.03,0.02,1,4,2,2,297.659399395897,1013.51737976074,44.1646494326137,124.796068668365
0.3,0.03,0.02,2,3,2,2,88.3476096959341,159.33358669281,20.4533471947625,23.0822369456291
0.3,0.03,0.02,2,5,2,2,98.1291471492677,189.023637771606,24.6735242151079,38.6984139680862
0.3,0.03,0.02,3,4,2,2,61.4346731986318,168.715751171112,25.6766583947908,34.5018744468689
0.3,0.03,0.02,2,4,1,1,108.674483781769,223.697686195374,24.4875325333504,34.124881029129
0.3,0.03,0.02,2,4,3,2,81.7150557325,159.949719905853,22.5093747178713,26.1101454496384
0.3,0.03,0.02,2,4,2,1,102.391446346328,156.292009353638,23.9378572929473,33.5360556840897
0.3,0.03,0.02,2,4,2,3,108.5264029957,234.175300598145,26.0222161809603,50.478184223175
0.3,0.15,0.02,1,4,2,2,240.973771753765,529.637765884399,40.0520934235482,75.6603479385376
0.3,0.15,0.02,2,3,2,2,88.3476096959341,159.33358669281,20.4533471947625,23.0822369456291
0.3,0.15,0.02,2,5,2,2,84.7711493571599,136.107313632965,23.4566183317275,27.7333110570908
0.3,0.15,0.02,3,4,2,2,61.0899734355155,181.272768974304,25.7436855208306,32.1529030799866
0.3,0.15,0.02,2,4,1,1,106.539993768647,222.084259986877,24.8379031107539,34.518975019455
0.3,0.15,0.02,2,4,3,2,84.8476350307465,162.176465988159,22.7721325698353,26.3558387756348
0.3,0.15,0.02,2,4,2,1,103.210662518229,168.7335729599,24.4409159535453,34.7576797008514
0.3,0.15,0.02,2,4,2,3,201.151641972718,509.639549255371,35.1475770984377,78.7986993789673
