lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
1e-05,5e-06,0.0001,2,4,2,2,68.9045439873423,218.799638748169,25.7092463828269,33.5069864988327
1e-05,5e-06,0.001,5,8,5,4,90.6245256463687,226.548457145691,32.2596886328288,43.0155366659164
1e-05,5e-06,0.01,8,12,8,6,119.086244560423,230.817651748657,36.676972252982,58.5519075393677
0.0001,5e-05,0.0001,2,4,2,2,68.9045439873423,218.799638748169,25.7092463828269,33.5069864988327
0.0001,5e-05,0.001,5,8,5,4,90.6245256463687,226.548457145691,32.2596886328288,43.0155366659164
0.0001,5e-05,0.01,8,12,8,6,119.086244560423,230.817651748657,36.676972252982,58.5519075393677
0.001,0.0005,0.001,2,4,2,2,54.6279094758488,167.093086242676,24.3313352976527,30.2484422922134
0.001,0.0005,0.01,5,8,5,4,203.320273827939,466.347932815552,51.2971013074829,95.4636216163635
0.001,0.0005,0.05,8,12,8,6,111.890612897419,193.258142471313,36.514756438278,57.7211380004883
0.01,0.005,0.001,2,4,2,2,54.6866611355827,167.223489284515,24.3379711395218,30.2880197763443
0.01,0.005,0.01,5,8,5,4,202.512311367761,470.518636703491,51.1564239150002,94.7932243347168
0.01,0.005,0.05,8,12,8,6,104.365687285151,195.477557182312,35.8762775148664,59.4363152980804
0.05,0.025,0.01,2,4,2,2,74.0886839372771,242.0893907547,25.2444448215621,31.4834088087082
0.05,0.025,0.05,5,8,5,4,344.035643339157,899.427509307861,71.9812024207342,180.001306533813
0.05,0.025,0.1,8,12,8,6,137.728362424033,341.51885509491,40.8661627343723,76.9185483455658
0.1,0.05,0.01,2,4,2,2,77.7070443545069,250.540971755981,24.8403903983888,31.3950031995773
0.1,0.05,0.05,5,8,5,4,192.67741498493,366.445207595825,44.8974253875869,89.5548462867737
0.1,0.05,0.1,8,12,8,6,151.535653358414,387.667942047119,42.4889443885712,110.92666387558
0.3,0.15,0.05,2,4,2,2,84.2585701318014,159.981882572174,22.7852436758223,26.1498093605042
0.3,0.15,0.1,5,8,5,4,52.6576184091114,86.9823276996613,29.983289539814,36.3431066274643
0.3,0.15,0.3,8,12,8,6,52.3121093000684,76.6936600208282,31.8142956211453,41.1768525838852
1,0.5,0.1,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
1,0.5,0.3,5,8,5,4,52.6576184091114,86.9823276996613,29.983289539814,36.3431066274643
1,0.5,1,8,12,8,6,52.3121093000684,76.6936600208282,31.8142956211453,41.1768525838852
0.001,0.0005,0.05,1,2,2,1,87.6900123964463,495.412635803223,23.172659107617,30.8220982551575
0.01,0.005,0.05,1,3,2,1,91.5799418375606,387.075018882751,23.2323906251362,29.2896389961243
0.1,0.05,0.05,1,4,2,1,95.4005182853767,358.010387420654,25.7861389290719,33.625340461731
0.0001,5e-05,0.01,12,18,8,6,210.258104403814,474.267721176147,54.0624226842608,94.1203713417053
0.001,0.0005,0.05,16,22,10,8,118.423844093368,307.874727249146,40.0337012750762,73.1935322284698
0.01,0.005,0.1,20,28,12,10,76.4898480403991,112.066400051117,35.4087324369521,45.753687620163
0.1,0.05,0.3,20,28,12,10,55.4460952679316,87.7178728580475,31.7280347858156,40.9947335720062
