lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.15,0.015,0.005,2,3,2,2,95.7395388966515,116.511309146881,19.7196662425995,22.5232422351837
0.15,0.015,0.01,2,3,2,2,96.1464461826143,126.931428909302,19.715589142981,22.5232422351837
0.15,0.015,0.02,2,3,2,2,95.768145720164,120.189118385315,19.7230211326054,22.5232422351837
0.15,0.015,0.04,2,3,2,2,92.9264630590166,175.083041191101,20.5969689857392,24.7156739234924
0.15,0.015,0.08,2,3,2,2,91.2878572940826,171.11212015152,20.6780379017194,24.7368082404137
0.2,0.02,0.005,2,3,2,2,95.7395388966515,116.511309146881,19.7196662425995,22.5232422351837
0.2,0.02,0.01,2,3,2,2,96.1464461826143,126.931428909302,19.715589142981,22.5232422351837
0.2,0.02,0.02,2,3,2,2,95.768145720164,120.189118385315,19.7230211326054,22.5232422351837
0.2,0.02,0.04,2,3,2,2,92.9264630590166,175.083041191101,20.5969689857392,24.7156739234924
0.2,0.02,0.08,2,3,2,2,91.2878572940826,171.11212015152,20.6780379017194,24.7368082404137
0.3,0.03,0.005,2,3,2,2,260.786354346644,1352.15196609497,27.1761978665988,36.8652790784836
0.3,0.03,0.01,2,3,2,2,77.7952823610533,356.367921829224,21.3337741437412,26.7558664083481
0.3,0.03,0.02,2,3,2,2,88.3476096959341,159.33358669281,20.4533471947625,23.0822369456291
0.3,0.03,0.04,2,3,2,2,86.0944729475748,191.074955463409,21.0752308368683,25.1469016075134
0.3,0.03,0.08,2,3,2,2,85.2247346015204,198.114776611328,21.1525572197778,25.3048032522202
0.4,0.04,0.005,2,3,2,2,263.458739575886,1385.14604568481,27.2594662649291,37.3158991336823
0.4,0.04,0.01,2,3,2,2,80.7545507947604,397.927618026733,21.3643731105895,26.7023742198944
0.4,0.04,0.02,2,3,2,2,87.7808034420013,165.691590309143,20.4039112443016,22.961151599884
0.4,0.04,0.04,2,3,2,2,83.62999551353,363.724303245544,24.9791032501629,34.4931334257126
0.4,0.04,0.08,2,3,2,2,83.6206477312815,363.882160186768,24.978841699305,34.4797402620316
0.3,0.003,0.02,2,3,2,2,95.7615860870906,120.172202587128,19.7229599668866,22.5232422351837
0.3,0.01,0.02,2,3,2,2,95.7615860870906,120.172202587128,19.7229599668866,22.5232422351837
0.3,0.06,0.02,2,3,2,2,88.3476096959341,159.33358669281,20.4533471947625,23.0822369456291
0.3,0.15,0.02,2,3,2,2,88.3476096959341,159.33358669281,20.4533471947625,23.0822369456291
0.3,0.3,0.02,2,3,2,2,88.3476096959341,159.33358669281,20.4533471947625,23.0822369456291
0.3,0.03,0.02,1,3,2,2,203.358984135446,630.888748168945,30.7963672138396,63.7550711631775
0.3,0.03,0.02,2,2,2,2,84.9745140189216,257.860708236694,20.0554871133396,22.3350539803505
0.3,0.03,0.02,2,4,2,2,100.740774046807,229.727911949158,23.4986283949443,37.6551657915115
0.3,0.03,0.02,3,3,2,2,88.5910297433535,359.52832698822,25.1479648408436,34.5415621995926
0.3,0.03,0.02,2,3,1,1,94.0364605614117,281.765556335449,21.0195803926105,24.4957193732262
0.3,0.03,0.02,2,3,2,1,98.8992634273711,309.876847267151,21.7813479048865,25.9718596935272
0.3,0.03,0.02,2,3,3,2,90.7297885134107,229.82439994812,20.9583144102778,24.6810853481293
0.3,0.03,0.02,2,3,2,3,131.610130412238,270.645475387573,26.4332019147419,54.0759384632111
