lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.006,0.004,0.012,3,8,5,3,63.8612474536612,414.569807052612,172.260876496633,211.20445728302
0.006,0.004,0.012,3,10,5,3,71.2693768242995,571.016645431519,175.111452738444,216.240334510803
0.006,0.004,0.012,3,12,5,3,58.6097571111861,305.576348304749,184.28365900403,230.997610092163
0.006,0.004,0.012,5,8,5,4,63.8612474536612,414.569807052612,172.260876496633,211.20445728302
0.006,0.004,0.012,5,10,5,4,71.2693768242995,571.016645431519,175.111452738444,216.240334510803
0.006,0.004,0.012,5,11,5,4,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
0.006,0.004,0.012,5,12,5,4,58.6097571111861,305.576348304749,184.28365900403,230.997610092163
0.006,0.004,0.012,5,14,5,4,56.5320301268782,265.173029899597,185.07718699319,231.013751029968
0.006,0.004,0.012,7,8,5,4,63.8612474536612,414.569807052612,172.260876496633,211.20445728302
0.006,0.004,0.012,7,10,5,4,71.2693768242995,571.016645431519,175.111452738444,216.240334510803
0.006,0.004,0.012,7,12,5,4,58.6097571111861,305.576348304749,184.28365900403,230.997610092163
0.006,0.004,0.012,7,14,5,4,56.5320301268782,265.173029899597,185.07718699319,231.013751029968
0.006,0.004,0.012,5,11,4,3,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
0.006,0.004,0.012,5,11,5,3,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
0.006,0.004,0.012,5,11,6,3,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
0.006,0.004,0.012,5,11,4,4,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
0.006,0.004,0.012,5,11,5,4,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
0.006,0.004,0.012,5,11,6,4,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
