lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.1,0.05,0.01,1,2,1,1,90.0926417538098,490.998077392578,23.3190158293361,29.1728347539902
0.1,0.05,0.01,1,3,2,1,88.8379145945821,361.86363697052,23.630790412426,30.3170531988144
0.1,0.05,0.01,2,4,2,2,77.7070443545069,250.540971755981,24.8403903983888,31.3950031995773
0.1,0.05,0.01,3,5,3,2,169.879720892225,314.696168899536,30.9442623030572,52.4023950099945
0.2,0.1,0.02,1,2,1,1,90.0668564296904,490.681266784668,23.3140985171,29.162460565567
0.2,0.1,0.02,1,3,2,1,141.097519653184,483.267545700073,27.0569661543483,43.6523050069809
0.2,0.1,0.02,2,4,2,2,100.39326832408,266.54679775238,22.9899869788261,27.7469217777252
0.2,0.1,0.02,3,5,3,2,189.636219683148,813.591480255127,33.8942942874772,54.1754245758057
0.3,0.15,0.03,1,2,1,1,90.0142812657924,490.03529548645,23.3040781957763,29.1413158178329
0.3,0.15,0.03,1,3,2,1,134.50755292461,467.273902893066,26.6152187472298,42.160552740097
0.3,0.15,0.03,2,4,2,2,84.7151283706937,161.275553703308,22.7702824842362,26.1104077100754
0.3,0.15,0.03,3,5,3,2,60.5891351898511,171.651577949524,26.6085352926027,33.2227617502213
0.3,0.15,0.05,1,2,1,1,89.8630577538695,488.17720413208,23.2752789344106,29.080531001091
0.3,0.15,0.05,1,3,2,1,133.402801553408,464.009380340576,26.5202273215566,41.8696731328964
0.3,0.15,0.05,2,4,2,2,84.2585701318014,159.981882572174,22.7852436758223,26.1498093605042
0.3,0.15,0.05,3,5,3,2,143.310880093347,280.376887321472,32.6298095640682,54.3603837490082
0.3,0.15,0.05,4,6,4,3,537.581976396697,1860.27374267578,85.5890880028407,211.723923683167
0.5,0.25,0.05,1,2,1,1,104.057049094921,616.876935958862,25.3442184556098,33.4143280982971
0.5,0.25,0.05,1,3,2,1,83.9004161102431,397.598791122437,24.9575988167808,31.636106967926
0.5,0.25,0.05,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.5,0.25,0.05,3,5,3,2,59.8269234810557,176.979434490204,26.5930710803895,32.1698248386383
0.5,0.25,0.05,4,6,4,3,56.5907231398991,125.450205802917,28.1573064270474,33.4881603717804
0.75,0.35,0.05,1,2,1,1,104.057049094921,616.876935958862,25.3442184556098,33.4143280982971
0.75,0.35,0.05,1,3,2,1,83.9004161102431,397.598791122437,24.9575988167808,31.636106967926
0.75,0.35,0.05,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.75,0.35,0.05,3,5,3,2,59.8269234810557,176.979434490204,26.5930710803895,32.1698248386383
1,0.5,0.05,1,2,1,1,104.057049094921,616.876935958862,25.3442184556098,33.4143280982971
1,0.5,0.05,1,3,2,1,83.9004161102431,397.598791122437,24.9575988167808,31.636106967926
1,0.5,0.05,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
1,0.5,0.05,3,5,3,2,59.8269234810557,176.979434490204,26.5930710803895,32.1698248386383
0.3,0.15,0.005,2,4,2,2,219.548204683122,693.416547775269,34.3032765246573,91.2938117980957
0.3,0.15,0.01,2,4,2,2,236.012693246206,474.406003952026,41.1400653776668,77.4567484855652
0.3,0.15,0.02,2,4,2,2,87.0312094688416,126.8683552742,22.250117787293,26.4475703239441
0.3,0.15,0.08,2,4,2,2,83.1927302337828,156.942343711853,22.8223850329717,26.2440025806427
0.3,0.15,0.12,2,4,2,2,81.2135446639288,151.193332672119,22.8999618973051,26.4269828796387
0.5,0.25,0.005,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.5,0.25,0.01,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.5,0.25,0.02,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.5,0.25,0.08,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.5,0.25,0.12,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.2,0.1,0.05,2,5,3,2,111.432232530344,394.104790687561,25.8389486443429,36.0698848962784
0.3,0.15,0.05,2,5,3,2,85.1953312754631,214.921236038208,25.0055183257375,30.5783748626709
0.5,0.25,0.05,2,5,3,2,59.8269234810557,176.979434490204,26.5930710803895,32.1698248386383
0.2,0.1,0.05,3,6,3,3,56.6327691078186,124.503636360168,28.2971328213101,34.292259812355
0.3,0.15,0.05,3,6,3,3,83.7324322689147,195.980656147003,29.1467111025538,39.3534123897552
0.5,0.25,0.05,3,6,3,3,56.5907231398991,125.450205802917,28.1573064270474,33.4881603717804
0.3,0.03,0.05,2,4,2,2,81.8727893488748,161.842083930969,22.6558304258755,26.3223707675934
0.3,0.06,0.05,2,4,2,2,84.2585701318014,159.981882572174,22.7852436758223,26.1498093605042
0.3,0.3,0.05,2,4,2,2,84.2585701318014,159.981882572174,22.7852436758223,26.1498093605042
0.5,0.05,0.05,2,4,2,2,61.7937051114582,168.63728761673,25.6603327535448,34.3080073595047
0.5,0.1,0.05,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
0.5,0.5,0.05,2,4,2,2,61.2666213086673,181.340217590332,25.7545019189517,32.0142716169357
